Image number,pos_x,pos_y,pos_z,o_x,o_y,o_z,o_w
24,0.019483658536585367,-0.14995971074380166,0.7205192171799479,0.07186022896551923,0.8880997776865098,0.414249617573129,0.1857744511678382
25,-0.21159239766081872,0.015729357798165138,0.8637803480812242,0.16889333743583235,0.9808061523736186,0.06112267885658346,-0.07588379382476226
26,-0.14007859078590784,-0.16475675675675674,0.8005769079777197,0.01296827646087362,0.9236387104513079,0.33041105771788526,0.19378309859022194
27,0.018754323725055432,-0.09012903225806451,0.655017470163589,0.04894139395239177,0.891123863627013,0.39177713150872684,0.2236373825174477
28,-0.21283705882352938,0.01580184331797235,0.86886140895229,0.16724942291588976,0.9819408069190886,0.07801307262588839,-0.04163943732639657
29,0.019627272727272722,-0.14812346938775509,0.7258301696407338,0.073093101805845,0.9083641012712288,0.3647554625050657,0.19101180739113657
30,-0.4810880952380952,-1.7996170212765956,2.344546659077608,0.1641091700228367,-0.14157250495741175,0.06050457911201018,0.9743534276949909
31,-0.3536486979166666,-0.0638944099378882,0.7693043725098402,-0.06720382374465143,0.9827052881816811,0.12817239406579828,-0.11552402370632024
32,-0.013311614730878187,-0.18350917431192662,0.8368636800107043,0.04054899151652538,0.9543603683916375,0.2867795719986742,0.07286661522691902
33,-0.42025454545454544,-0.05454149377593361,0.7258301696407338,0.0038148396679926946,0.9603625701711689,-0.249267354035016,-0.1247195534987039
34,-0.44225882352941176,-5.1435,8.6886140895229,0.6486699515780069,-0.040919260217396586,-0.4961030759474284,0.5757036095931198
35,-0.27866162790697674,-0.04141304347826087,0.85875836931331,-0.01806348160405157,0.9932422070326378,0.058347144930010676,-0.09868758523639647
36,-0.20914624277456645,0.015729357798165138,0.8537944481034063,0.1652903164068879,0.9775109335424129,0.13085043405485067,-0.005445182715811544
37,-0.3518163212435233,-0.065484375,0.7653183394916545,-0.06696446995482826,0.9900652777040618,0.11688483126305628,-0.04030436538459148
38,-0.42025454545454544,-0.05454149377593361,0.7258301696407338,0.0038148396679926946,0.9603625701711689,-0.249267354035016,-0.1247195534987039
39,-0.21036220930232558,0.015838337182448033,0.85875836931331,0.16935132206400189,0.9820747497067023,0.06869624481476388,-0.04615345763908266
40,0.019724197530864195,-0.14782179226069248,0.729414516157478,0.06478706848439891,0.9419492249298791,0.2974158069852344,0.14169732236891255
41,-0.42025454545454544,-0.05454149377593361,0.7258301696407338,0.0038148396679926946,0.9603625701711689,-0.249267354035016,-0.1247195534987039
42,-0.2802912280701754,-0.04307788944723619,0.8637803480812242,-0.05275498502535452,0.9341926235855926,0.3209584734137888,-0.146583464064443
43,-0.44225882352941176,-5.1435,8.6886140895229,0.6486699515780069,-0.040919260217396586,-0.4961030759474284,0.5757036095931198
44,-0.4810880952380952,-1.7996170212765956,2.344546659077608,0.1641091700228367,-0.14157250495741175,0.06050457911201018,0.9743534276949909
45,-0.14122677595628413,-0.16587755102040813,0.807139013780816,-0.024082327566525837,0.9586447056591338,0.2610133106137274,-0.11087119325213922
46,-0.14398050139275764,-0.16663325740318904,0.8228771004004976,-0.003453920067944945,0.9553278827405774,0.28937013737915324,0.060013585859701776
47,-0.22410615384615382,-0.04250826446280991,0.7574689206250733,-0.05655114990491413,0.9967626056702393,0.05498443146713212,-0.01558806203936499
48,-0.35427015706806275,-0.06456276150627614,0.7733321440936612,-0.06949554362847163,0.9857093839740018,0.11323507373809184,-0.10356253104721828
49,-0.4810880952380952,-1.7996170212765956,2.344546659077608,0.1641091700228367,-0.14157250495741175,0.06050457911201018,0.9743534276949909
